ID del Cliente,Edad del Cliente,Cartera Por Edad,Años Experiencia,Ingresos Anual,Ingresos Mensual,Tipo de Cliente,Nivel de Educación,Codigo Postal,Miembros Familia,Promedio Gasto TDC,Valor de Hipoteca,Cliente con TDC,Cliente ACCA,Cliente con Cuenta,Cliente con Deposito,Cliente Digital
1,25,Cartera Joven,1,49000,4083,Banca Personal,No graduado,91107,4,1600,0,No,No,Si,No,No
2,45,Adulto y Familias,19,34000,2833,Banca Personal,No graduado,90089,3,1500,0,No,No,Si,No,No
3,39,Adulto y Familias,15,11000,916,Clientes Básicos,No graduado,94720,1,1000,0,No,No,No,No,No
4,35,Adulto y Familias,9,100000,8333,Clientes Preferencial,Graduado,94112,1,2700,0,No,No,No,No,No
5,35,Adulto y Familias,8,45000,3750,Banca Personal,Graduado,91330,4,1000,0,Si,No,No,No,No
6,37,Adulto y Familias,13,29000,2416,Banca Personal,Graduado,92121,4,400,155000,No,No,No,No,Si
7,53,Adultos Consolidados,27,72000,6000,Clientes Preferencial,Graduado,91711,2,1500,0,No,No,No,No,Si
8,50,Adultos Consolidados,24,22000,1833,Banca Personal,Profesional,93943,1,300,0,Si,No,No,No,No
9,35,Adulto y Familias,10,81000,6750,Clientes Preferencial,Graduado,90089,3,600,104000,No,No,No,No,Si
10,34,Adulto y Familias,9,180000,15000,Clientes Oro,Profesional,93023,1,8900,0,No,Si,No,No,No
11,65,Jubilados y Adultos Mayores,39,105000,8750,Clientes Preferencial,Profesional,94710,4,2400,0,No,No,No,No,No
12,29,Cartera Joven,5,45000,3750,Banca Personal,Graduado,90277,3,100,0,No,No,No,No,Si
13,48,Adultos Consolidados,23,114000,9500,Clientes Preferencial,Profesional,93106,2,3800,0,No,No,Si,No,No
14,59,Adultos Consolidados,32,40000,3333,Banca Personal,Graduado,94920,4,2500,0,No,No,No,No,Si
15,67,Jubilados y Adultos Mayores,41,112000,9333,Clientes Preferencial,No graduado,91741,1,2000,0,No,No,Si,No,No
16,60,Adultos Consolidados,30,22000,1833,Banca Personal,Profesional,95054,1,1500,0,Si,No,No,No,Si
17,38,Adulto y Familias,14,130000,10833,Clientes Oro,Profesional,95010,4,4700,134000,No,Si,No,No,No
18,42,Adulto y Familias,18,81000,6750,Clientes Preferencial,No graduado,94305,4,2400,0,No,No,No,No,No
19,46,Adultos Consolidados,21,193000,16083,Clientes Oro,Profesional,91604,2,8100,0,No,Si,No,No,No
20,55,Adultos Consolidados,28,21000,1750,Banca Personal,Graduado,94720,1,500,0,Si,No,Si,No,No
21,56,Adultos Consolidados,31,25000,2083,Banca Personal,Graduado,94015,4,900,111000,No,No,No,No,Si
22,57,Adultos Consolidados,27,63000,5250,Clientes Preferencial,Profesional,90095,3,2000,0,No,No,No,No,Si
23,29,Cartera Joven,5,62000,5166,Clientes Preferencial,No graduado,90277,1,1200,260000,No,No,No,No,Si
24,44,Adulto y Familias,18,43000,3583,Banca Personal,No graduado,91320,2,700,163000,No,No,Si,No,No
25,36,Adulto y Familias,11,152000,12666,Clientes Oro,No graduado,95521,2,3900,159000,Si,No,No,No,No
26,43,Adulto y Familias,19,29000,2416,Banca Personal,No graduado,94305,3,500,97000,No,No,No,No,Si
27,40,Adulto y Familias,16,83000,6916,Clientes Preferencial,Profesional,95064,4,200,0,No,No,No,No,No
28,46,Adultos Consolidados,20,158000,13166,Clientes Oro,No graduado,90064,1,2400,0,Si,No,No,No,Si
29,56,Adultos Consolidados,30,48000,4000,Banca Personal,Profesional,94539,1,2200,0,Si,No,No,No,Si
30,38,Adulto y Familias,13,119000,9916,Clientes Preferencial,Graduado,94104,1,3300,0,Si,Si,No,Si,Si
31,59,Adultos Consolidados,35,35000,2916,Banca Personal,Profesional,93106,1,1200,122000,No,No,No,No,Si
32,40,Adulto y Familias,16,29000,2416,Banca Personal,Graduado,94117,1,2000,0,No,No,No,No,Si
33,53,Adultos Consolidados,28,41000,3416,Banca Personal,Profesional,94801,2,600,193000,No,No,No,No,No
34,30,Cartera Joven,6,18000,1500,Banca Personal,Profesional,91330,3,900,0,No,No,No,No,No
35,31,Adulto y Familias,5,50000,4166,Banca Personal,Profesional,94035,4,1800,0,No,No,No,No,Si
36,48,Adultos Consolidados,24,81000,6750,Clientes Preferencial,No graduado,92647,3,700,0,No,No,No,No,No
37,59,Adultos Consolidados,35,121000,10083,Clientes Oro,No graduado,94720,1,2900,0,Si,No,No,No,No
38,51,Adultos Consolidados,25,71000,5916,Clientes Preferencial,Profesional,95814,1,1400,198000,No,No,No,No,No
39,42,Adulto y Familias,18,141000,11750,Clientes Oro,Profesional,94114,3,5000,0,No,Si,Si,Si,Si
40,38,Adulto y Familias,13,80000,6666,Clientes Preferencial,Profesional,94115,4,700,285000,No,No,No,No,Si
41,57,Adultos Consolidados,32,84000,7000,Clientes Preferencial,Profesional,92672,3,1600,0,No,No,Si,No,No
42,34,Adulto y Familias,9,60000,5000,Clientes Preferencial,No graduado,94122,3,2300,0,No,No,No,No,No
43,32,Adulto y Familias,7,132000,11000,Clientes Oro,Graduado,90019,4,1100,412000,No,Si,No,No,Si
44,39,Adulto y Familias,15,45000,3750,Banca Personal,No graduado,95616,1,700,0,No,No,No,No,Si
45,46,Adultos Consolidados,20,104000,8666,Clientes Preferencial,No graduado,94065,1,5700,0,Si,No,No,No,Si
46,57,Adultos Consolidados,31,52000,4333,Banca Personal,No graduado,94720,4,2500,0,Si,No,No,No,No
